Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
  svchost.exe		5,016 K	11,040 K	4116	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	3,324 K	14,188 K	5628	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,020 K	6,236 K	5292	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		7,408 K	24,680 K	6140	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,740 K	2,280 K	5472	Host Process for Windows Services	Microsoft Corporation
   ctfmon.exe	0.80	2,912 K	7,508 K	684		
  svchost.exe		3,140 K	3,028 K	6228	Host Process for Windows Services	Microsoft Corporation
  SearchIndexer.exe	0.24	27,732 K	25,780 K	7648	Microsoft Windows Search Indexer	Microsoft Corporation
   SearchProtocolHost.exe	< 0.01	3,076 K	13,252 K	7964		
   SearchFilterHost.exe		2,112 K	8,528 K	6352		
  svchost.exe	0.04	6,428 K	12,376 K	6392	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,608 K	6,752 K	7284	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,124 K	4,032 K	7400	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,828 K	5,468 K	8268	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,884 K	12,400 K	7196	Host Process for Windows Services	Microsoft Corporation
  TrustedInstaller.exe	< 0.01	1,888 K	3,140 K	7620	Windows Modules Installer	Microsoft Corporation
  svchost.exe		6,944 K	4,816 K	7856	Host Process for Windows Services	Microsoft Corporation
  NisSrv.exe		5,124 K	3,912 K	4348	Microsoft Network Realtime Inspection Service	Microsoft Corporation
  svchost.exe		1,688 K	6,752 K	3880	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,400 K	5,564 K	7784	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		10,408 K	20,864 K	8616	Host Process for Windows Services	Microsoft Corporation
 lsass.exe	0.07	5,816 K	10,364 K	676	Local Security Authority Process	Microsoft Corporation
 fontdrvhost.exe		1,416 K	1,248 K	840		
csrss.exe	0.94	1,840 K	2,420 K	540		
winlogon.exe		2,648 K	3,408 K	616		
 fontdrvhost.exe		4,320 K	4,828 K	800		
 dwm.exe	1.36	57,520 K	114,376 K	276		
explorer.exe	0.70	42,412 K	123,088 K	2504	Windows Explorer	Microsoft Corporation
 MSASCuiL.exe		1,908 K	2,972 K	8412	Windows Defender notification icon	Microsoft Corporation
 OneDrive.exe		28,036 K	29,740 K	8452	Microsoft OneDrive	Microsoft Corporation
 Wireshark.exe	0.09	253,056 K	257,840 K	7804	Wireshark	The Wireshark developer community, http://www.wireshark.org/
  dumpcap.exe	0.01	3,192 K	3,824 K	4668	Dumpcap	The Wireshark developer community
   conhost.exe		5,580 K	5,292 K	8468	Console Window Host	Microsoft Corporation
 firefox.exe	0.48	131,044 K	204,780 K	7528	Firefox	Mozilla Corporation
  firefox.exe	< 0.01	48,976 K	103,524 K	5660	Firefox	Mozilla Corporation
  firefox.exe	< 0.01	20,820 K	53,484 K	3856	Firefox	Mozilla Corporation
  firefox.exe		14,976 K	36,492 K	368	Firefox	Mozilla Corporation
 procexp.exe		2,948 K	10,308 K	6804	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com
  procexp64.exe	4.44	20,340 K	56,804 K	3528	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com

